,ID,Reaction
0,XYLUPT,atp_c + xylu__L_c <=> adp_c + xu1p__D_c
1,GLYK,atp_c + glyc_c <=> adp_c + glyc3p_c + h_c
2,R5PPPT,atp_c + r5p_c <=> amp_c + prpp_c
3,CYTK2,atp_c + dcmp_c <=> adp_c + dcdp_c
4,NDPK3,atp_c + cdp_c <=> adp_c + ctp_c + h_c
5,ATPACAT,ac_c + atp_c + 2.0 h_c <=> aad_c + ppi_c
6,R5PPT,atp_c + rib__D_c <=> adp_c + r5p_c
7,ATGDm,atp_c + gdp_c <=> adp_c + gtp_c
8,PNTK,atp_c + pnto__R_c <=> 4ppan_c + adp_c
9,DGK1,atp_c + dgmp_c <=> adp_c + dgdp_c
10,HETZK,4mhetz_c + atp_c <=> 4mpetz_c + adp_c
11,RBK_L1,atp_c + rbl__L_c <=> adp_c + ru5p__L_c
12,NNATm,atp_c + nicrnt_c <=> dnad_c + ppi_c
13,ACTCO2L,acetone_c + atp_c + co2_c + 2.0 h2o_c <=> acac_c + amp_c + 3.0 h_c + 2.0 pi_c
14,DHBS,23dhb_c + atp_c + h_c <=> 23dhba_c + ppi_c
15,GK1,atp_c + gmp_c <=> adp_c + gdp_c
16,HPPK2,6hmhpt_c + atp_c <=> 6hmhptpp_c + amp_c
17,PGK,3pg_c + atp_c + h_c <=> 13dpg_c + adp_c
18,UMPK,atp_c + ump_c <=> adp_c + udp_c
19,ACKr,ac_c + atp_c + h_c <=> actp_c + adp_c
20,BUTPT,atp_c + but_c <=> adp_c + butpi_c
21,FTHFLi,atp_c + for_c + thf_c <=> 10fthf_c + adp_c + pi_c
22,NDPK9,atp_c + idp_c <=> adp_c + itp_c
23,ATDGDm,atp_c + dgdp_c <=> adp_c + dgtp_c
24,PFK_3,atp_c + s7p_c <=> adp_c + s17bp_c
25,ANNAT,atp_c + nmn_c <=> nad_c + ppi_c
26,CTPS2,atp_c + gln__L_c + h2o_c + utp_c <=> adp_c + ctp_c + glu__L_c + 3.0 h_c + pi_c
27,ADK1,amp_c + atp_c <=> 2.0 adp_c
28,ASNS1,asp__L_c + atp_c + gln__L_c + h2o_c <=> amp_c + asn__L_c + glu__L_c + h_c + ppi_c
29,URIK1,atp_c + uri_c <=> adp_c + ump_c
30,PYK,adp_c + pep_c <=> atp_c + pyr_c
31,GSPMDS,atp_c + gthrd_c + spmd_c <=> adp_c + gtspmd_c + h_c + pi_c
32,NADK,atp_c + nad_c <=> adp_c + nadp_c
33,TMDK1,atp_c + thymd_c <=> adp_c + dtmp_c
34,SUCOAS,atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c
35,NDPK8,atp_c + dadp_c <=> adp_c + datp_c
36,NAMNPP,adp_c + h_c + nicrnt_c + pi_c + ppi_c <=> atp_c + h2o_c + nac_c + prpp_c
37,APPAT,atp_c + pan4p_c <=> dpcoa_c + ppi_c
38,CYTK1,atp_c + cmp_c <=> adp_c + cdp_c
39,CYTDK1,atp_c + cytd_c <=> adp_c + cmp_c
40,NDPK4,atp_c + dtdp_c <=> adp_c + dttp_c
41,ATDAMh,atp_c + damp_c <=> adp_c + dadp_c
42,ATPPT,adp_c <=> atp_c
43,NDPK6,atp_c + dudp_c <=> adp_c + dutp_c
44,ATPTAT,atp_c + h_c + scpgg_c <=> ascp_c + ppi_c
45,DRBK,2dr5p_c + adp_c <=> atp_c + drib_c
46,PRAISh,5aizc_c + asp__L_c + atp_c + h_c <=> 25aics_c + adp_c + pi_c
47,DURIK1,atp_c + duri_c <=> adp_c + dump_c
48,GMPS,atp_c + nh4_c + xmp_c <=> amp_c + gmp_c + 2.0 h_c + ppi_c
49,NDPK7,atp_c + dcdp_c <=> adp_c + dctp_c
50,DGNSK,atp_c + dgsn_c <=> adp_c + dgmp_c
51,GTPDPK,atp_c + gtp_c <=> amp_c + gdptp_c
52,TMPK,atp_c + thmmp_c <=> adp_c + thmpp_c
53,URIDK2m,atp_c + dump_c <=> adp_c + dudp_c
54,AIRLIG,air_c + atp_c + hco3_b_c <=> 5caiz_c + adp_c + pi_c
55,ATPNAT,atp_c <=> RNA_c + ppi_c
56,DTMPK,atp_c + dtmp_c <=> adp_c + dtdp_c
57,XYLK,atp_c + xylu__D_c <=> adp_c + xu5p__D_c
58,RBFK,atp_c + ribflv_c <=> adp_c + fmn_c
